                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0179,                0.77155,                 1.1817,                0.97788,                0.97917,                 0.9571,                0.60264,                 1.3352,                 0.8446,                 1.5056,              0.0003466,              0.0003466,              0.0003466
                     36,                0.96131,                0.73568,                 1.1614,                0.97739,                0.97917,                 0.9588,                0.61943,                 1.2496,                0.85949,                 1.4558,              0.0003268,              0.0003268,              0.0003268
                     37,                0.99118,                0.75583,                  1.162,                0.99803,                      1,                  0.995,                0.62735,                 1.2672,                0.81862,                 1.4837,               0.000307,               0.000307,               0.000307
                     38,                 0.9677,                0.76846,                 1.1825,                0.99845,                      1,                  0.995,                0.62919,                 1.2365,                0.82739,                 1.4416,              0.0002872,              0.0002872,              0.0002872
                     39,                 1.0139,                0.72525,                 1.1855,                 0.9986,                      1,                  0.995,                0.62086,                 1.2317,                0.81412,                 1.4448,              0.0002674,              0.0002674,              0.0002674
                     40,                0.94393,                 0.7264,                 1.1737,                0.99875,                      1,                  0.995,                0.61001,                 1.2806,                0.75803,                 1.4924,              0.0002476,              0.0002476,              0.0002476
                     41,                0.89044,                 0.8374,                 1.2025,                0.99825,                      1,                  0.995,                0.60355,                 1.2486,                0.84443,                 1.4434,              0.0002278,              0.0002278,              0.0002278
                     42,                0.87434,                0.84791,                 1.1364,                0.99838,                      1,                  0.995,                0.60087,                 1.2938,                0.88304,                 1.4464,               0.000208,               0.000208,               0.000208
                     43,                0.84119,                0.79343,                 1.1314,                0.99661,                      1,                  0.995,                0.60466,                  1.306,                0.79035,                 1.5008,              0.0001882,              0.0001882,              0.0001882
                     44,                0.80768,                0.72447,                 1.1104,                0.99866,                      1,                  0.995,                0.64463,                 1.2207,                0.75216,                 1.4545,              0.0001684,              0.0001684,              0.0001684
                     45,                 0.8029,                0.72716,                 1.1258,                0.99836,                      1,                  0.995,                 0.6352,                 1.2284,                0.74044,                 1.4466,              0.0001486,              0.0001486,              0.0001486
                     46,                0.78971,                0.70914,                 1.0739,                0.97783,                0.97917,                 0.9601,                0.59762,                 1.2925,                 0.7687,                 1.5016,              0.0001288,              0.0001288,              0.0001288
                     47,                0.79121,                 0.7264,                 1.1152,                 0.9779,                0.97917,                0.96299,                0.62435,                  1.279,                0.75282,                 1.4794,               0.000109,               0.000109,               0.000109
                     48,                0.79187,                0.70234,                 1.1098,                0.99867,                      1,                  0.995,                0.63971,                 1.2489,                0.74322,                 1.4559,               8.92e-05,               8.92e-05,               8.92e-05
                     49,                0.75993,                0.68568,                 1.0648,                0.99861,                      1,                  0.995,                0.63897,                 1.2408,                0.74981,                 1.4398,               6.94e-05,               6.94e-05,               6.94e-05
                     50,                0.75366,                0.67785,                 1.0997,                0.99849,                      1,                  0.995,                0.63796,                 1.2543,                0.74758,                  1.449,               4.96e-05,               4.96e-05,               4.96e-05
