                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4228,                 4.4514,                  2.532,                0.00343,                 0.8125,                0.11754,                0.04506,                 1.8706,                 4.7521,                 2.3993,                0.00011,                0.00011,                0.00011
                      2,                 1.6321,                  3.681,                 1.8272,                0.00425,                      1,                0.26912,                0.13447,                 1.2662,                  4.151,                 1.6087,             0.00022545,             0.00022545,             0.00022545
                      3,                 1.4685,                 2.9402,                 1.6184,                0.00694,                      1,                0.44291,                0.23479,                  1.181,                 3.8744,                 1.4643,             0.00033614,             0.00033614,             0.00033614
                      4,                 1.4512,                 2.5363,                 1.5793,                0.00908,                      1,                0.59939,                0.31087,                   1.31,                 3.7508,                 1.6362,             0.00044208,             0.00044208,             0.00044208
                      5,                 1.4345,                 2.1695,                 1.5267,                0.79156,                 0.4375,                0.85743,                0.46559,                 1.3819,                 2.9821,                  1.753,             0.00054327,             0.00054327,             0.00054327
                      6,                 1.3152,                  1.911,                 1.4431,                0.79528,                0.53574,                0.80452,                0.47431,                 1.3306,                 2.7957,                 1.6781,             0.00063971,             0.00063971,             0.00063971
                      7,                 1.3416,                 1.7725,                 1.4813,                0.79412,                0.61137,                 0.8339,                0.47617,                 1.4643,                 2.9832,                 1.8698,              0.0007314,              0.0007314,              0.0007314
                      8,                 1.3228,                 1.7863,                 1.4932,                0.73713,                0.84277,                0.87963,                0.51478,                 1.4919,                 2.3991,                  1.927,             0.00081833,             0.00081833,             0.00081833
                      9,                 1.3179,                 1.6584,                 1.4418,                0.87423,                0.83333,                  0.995,                0.54983,                 1.5159,                 2.2275,                 1.8931,              0.0008416,              0.0008416,              0.0008416
                     10,                 1.2539,                 1.6262,                 1.4397,                0.83157,                0.85773,                0.95193,                0.55045,                 1.4731,                 2.4007,                 1.8719,              0.0008416,              0.0008416,              0.0008416
                     11,                 1.2816,                 1.5972,                 1.4259,                0.89146,                0.83284,                0.95436,                0.56983,                 1.4342,                  2.032,                 1.8431,              0.0008218,              0.0008218,              0.0008218
