                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     12,                 1.2442,                 1.4836,                  1.426,                0.86597,                0.89723,                0.95528,                0.53753,                 1.3966,                 2.0288,                 1.7641,               0.000802,               0.000802,               0.000802
                     13,                 1.2877,                 1.5551,                  1.469,                0.89042,                0.94618,                 0.9749,                0.59746,                 1.4458,                 2.0901,                 1.8198,              0.0007822,              0.0007822,              0.0007822
                     14,                 1.2804,                 1.4385,                 1.4044,                0.86456,                0.89175,                0.93628,                0.56473,                 1.5036,                 1.9895,                 1.8766,              0.0007624,              0.0007624,              0.0007624
                     15,                 1.2506,                 1.4112,                 1.4213,                0.90888,                0.97891,                0.98563,                0.63662,                 1.3049,                 1.7586,                 1.6817,              0.0007426,              0.0007426,              0.0007426
                     16,                 1.1721,                  1.314,                 1.3766,                 0.9389,                0.98794,                  0.991,                0.63724,                 1.2662,                 1.5246,                 1.6373,              0.0007228,              0.0007228,              0.0007228
                     17,                  1.199,                 1.2722,                 1.3631,                0.93459,                0.98157,                  0.995,                0.62153,                 1.3276,                 1.4642,                 1.7402,               0.000703,               0.000703,               0.000703
                     18,                 1.1944,                 1.3034,                 1.3576,                0.97562,                0.98623,                  0.995,                0.63795,                 1.2839,                 1.3476,                 1.6674,              0.0006832,              0.0006832,              0.0006832
                     19,                 1.2038,                 1.2023,                 1.3543,                0.93744,                0.98366,                0.99278,                0.62307,                 1.3636,                 1.4938,                 1.7161,              0.0006634,              0.0006634,              0.0006634
                     20,                 1.1275,                  1.209,                  1.324,                0.93211,                      1,                  0.995,                0.64588,                 1.3379,                 1.3455,                 1.7342,              0.0006436,              0.0006436,              0.0006436
                     21,                 1.1422,                 1.1796,                 1.3524,                0.97569,                0.95207,                0.97845,                0.61561,                  1.387,                 1.3358,                 1.7689,              0.0006238,              0.0006238,              0.0006238
                     22,                 1.1216,                  1.153,                 1.3381,                0.94068,                 0.9834,                0.99278,                0.60859,                  1.373,                 1.2818,                 1.7288,               0.000604,               0.000604,               0.000604
                     23,                 1.0545,                 1.0702,                 1.2814,                0.98206,                0.98875,                  0.995,                0.63105,                 1.3047,                 1.1904,                 1.6917,              0.0005842,              0.0005842,              0.0005842
                     24,                 1.1209,                 1.1053,                 1.3162,                0.98174,                0.99958,                  0.995,                 0.6662,                 1.2819,                 1.1776,                  1.655,              0.0005644,              0.0005644,              0.0005644
                     25,                 1.1353,                 1.0425,                 1.2834,                 0.9772,                0.99735,                  0.995,                0.64815,                 1.3381,                 1.2248,                 1.7305,              0.0005446,              0.0005446,              0.0005446
                     26,                 1.1614,                 1.0874,                 1.3488,                0.98413,                      1,                  0.995,                0.64876,                 1.2475,                 1.1473,                 1.6327,              0.0005248,              0.0005248,              0.0005248
                     27,                 1.0954,                 1.0089,                 1.2859,                0.98133,                      1,                  0.995,                0.63978,                  1.298,                 1.1656,                  1.702,               0.000505,               0.000505,               0.000505
                     28,                 1.1287,                 1.0329,                 1.3171,                0.98052,                0.99545,                  0.995,                 0.6506,                 1.2917,                 1.1407,                 1.6837,              0.0004852,              0.0004852,              0.0004852
                     29,                  1.083,                 1.0042,                 1.2775,                0.97436,                      1,                  0.995,                0.61006,                 1.4197,                 1.1614,                 1.7371,              0.0004654,              0.0004654,              0.0004654
                     30,                 1.1114,                0.97304,                 1.2793,                0.98558,                      1,                  0.995,                0.63699,                 1.3019,                 1.0661,                 1.6491,              0.0004456,              0.0004456,              0.0004456
                     31,                0.98408,                0.91628,                  1.223,                0.98429,                0.99514,                  0.995,                0.65671,                 1.2059,                 1.0064,                 1.5962,              0.0004258,              0.0004258,              0.0004258
                     32,                 1.0455,                0.92819,                 1.2717,                0.98185,                      1,                  0.995,                0.64561,                 1.3006,                 1.0383,                 1.6575,               0.000406,               0.000406,               0.000406
                     33,                 1.0391,                0.97071,                 1.2754,                0.97531,                      1,                  0.995,                0.64103,                 1.2469,                 1.0145,                 1.6408,              0.0003862,              0.0003862,              0.0003862
                     34,                0.99727,                0.90137,                 1.2296,                0.95963,                0.97917,                0.97009,                0.61824,                 1.2962,                0.98517,                 1.7466,              0.0003664,              0.0003664,              0.0003664
                     35,                0.98525,                0.87539,                 1.2075,                0.95759,                0.97917,                0.97028,                0.61937,                  1.316,                0.94723,                 1.7322,              0.0003466,              0.0003466,              0.0003466
                     36,                0.94303,                0.84512,                 1.1773,                0.97048,                      1,                  0.995,                0.63875,                 1.2813,                0.95795,                 1.6885,              0.0003268,              0.0003268,              0.0003268
                     37,                0.93333,                0.82715,                 1.1726,                0.98708,                      1,                  0.995,                0.63057,                 1.2988,                0.95406,                 1.7162,               0.000307,               0.000307,               0.000307
                     38,                0.97197,                0.85824,                  1.239,                0.98319,                      1,                  0.995,                0.64641,                 1.2531,                0.94555,                 1.6513,              0.0002872,              0.0002872,              0.0002872
                     39,                0.97774,                0.83788,                 1.1958,                0.97789,                      1,                  0.995,                0.65305,                 1.2369,                0.90301,                  1.632,              0.0002674,              0.0002674,              0.0002674
                     40,                0.95118,                0.81926,                 1.2254,                0.98652,                      1,                  0.995,                0.66783,                  1.238,                0.88575,                 1.6252,              0.0002476,              0.0002476,              0.0002476
                     41,                0.89634,                 1.0065,                  1.321,                 0.9744,                      1,                  0.995,                 0.6649,                 1.2178,                0.98481,                 1.6365,              0.0002278,              0.0002278,              0.0002278
                     42,                0.90122,                 1.0137,                 1.2721,                0.98327,                      1,                  0.995,                0.63457,                 1.3085,                 1.0352,                 1.7468,               0.000208,               0.000208,               0.000208
                     43,                0.83649,                0.94652,                 1.2342,                0.98742,                      1,                  0.995,                0.65493,                 1.2334,                0.92153,                 1.6784,              0.0001882,              0.0001882,              0.0001882
                     44,                0.79618,                 0.8832,                 1.1988,                 0.9787,                      1,                  0.995,                0.67665,                 1.1847,                0.91176,                 1.5991,              0.0001684,              0.0001684,              0.0001684
                     45,                0.82429,                0.87853,                  1.249,                0.98195,                      1,                  0.995,                 0.6611,                  1.232,                0.92937,                 1.6248,              0.0001486,              0.0001486,              0.0001486
                     46,                0.76449,                0.86008,                 1.1545,                0.97789,                      1,                  0.995,                0.64298,                 1.2761,                0.93051,                 1.6821,              0.0001288,              0.0001288,              0.0001288
                     47,                0.78682,                0.85163,                 1.1947,                0.98514,                0.99865,                  0.995,                0.66082,                 1.2272,                0.89463,                 1.6258,               0.000109,               0.000109,               0.000109
                     48,                0.78165,                0.83315,                  1.202,                0.98802,                0.99911,                  0.995,                0.66133,                 1.1935,                0.87639,                 1.5885,               8.92e-05,               8.92e-05,               8.92e-05
                     49,                  0.763,                 0.8274,                 1.1666,                0.98705,                      1,                  0.995,                0.65662,                 1.2128,                 0.8821,                 1.6284,               6.94e-05,               6.94e-05,               6.94e-05
                     50,                0.74388,                0.81133,                 1.1722,                0.98774,                0.99785,                  0.995,                 0.6505,                  1.244,                0.88154,                 1.6734,               4.96e-05,               4.96e-05,               4.96e-05
